timestep,Auvergne_Rhone_Alpes,Nouvelle_Aquitaine,Occitanie,Provence_Alpes_Cote_dAzur
337,87.2,95.0,89.3,120.0
338,113.825,120.0,115.4875,95.0
339,87.2,95.0,89.3,120.0
340,59.15,65.0,60.725,90.0
341,87.2,95.0,89.3,120.0
342,113.825,120.0,115.4875,95.0
343,113.825,120.0,115.4875,95.0
344,113.825,120.0,115.4875,95.0
345,113.825,120.0,115.4875,95.0
346,113.825,120.0,115.4875,95.0
347,113.825,120.0,115.4875,95.0
348,113.825,120.0,115.4875,95.0
349,113.825,120.0,115.4875,95.0
350,113.825,120.0,115.4875,95.0
351,113.825,120.0,115.4875,95.0
352,87.2,95.0,89.3,120.0
353,87.2,95.0,89.3,120.0
354,87.2,95.0,89.3,120.0
355,87.2,95.0,89.3,120.0
356,87.2,95.0,89.3,120.0
357,87.2,95.0,89.3,120.0
358,87.2,95.0,89.3,120.0
359,87.2,95.0,89.3,120.0
360,87.2,95.0,89.3,120.0
361,87.2,95.0,89.3,120.0
362,87.2,95.0,89.3,120.0
363,87.2,95.0,89.3,120.0
364,87.2,95.0,89.3,120.0
365,87.2,95.0,89.3,120.0
366,113.825,120.0,115.4875,95.0
367,95.55,100.45455,96.870455,75.454545
368,113.825,120.0,115.4875,95.0
369,113.825,120.0,115.4875,95.0
370,113.825,120.0,115.4875,95.0
371,87.2,95.0,89.3,120.0
372,87.2,95.0,89.3,120.0
373,87.2,95.0,119.3617,120.0
374,87.2,95.0,119.3617,120.0
375,87.2,95.0,119.3617,120.0
376,87.2,95.0,119.3617,120.0
377,87.2,95.0,89.3,120.0
378,87.2,95.0,89.3,120.0
379,87.2,95.0,89.3,120.0
380,113.825,120.0,115.4875,95.0
381,87.2,95.0,89.3,120.0
382,87.2,95.0,119.3617,120.0
383,87.2,95.0,89.3,120.0
384,87.2,95.0,119.3617,120.0
385,87.2,95.0,89.3,120.0
386,6.3,5.0,5.95,20.0
387,87.2,95.0,89.3,120.0
388,87.2,95.0,89.3,120.0
389,87.2,95.0,89.3,120.0
390,91.55,96.176471,92.795588,71.176471
391,113.825,120.0,115.4875,95.0
392,113.825,120.0,115.4875,95.0
393,113.825,120.0,115.4875,95.0
394,113.825,120.0,115.4875,95.0
395,113.825,120.0,115.4875,95.0
396,113.825,120.0,115.4875,95.0
397,113.825,120.0,115.4875,95.0
398,113.825,120.0,115.4875,95.0
399,113.825,120.0,115.4875,95.0
400,12.024161,11.122097,11.781298,13.877903
401,113.825,120.0,115.4875,95.0
402,87.2,95.0,89.3,120.0
403,87.2,95.0,89.3,120.0
404,87.2,95.0,89.3,120.0
405,87.2,95.0,89.3,120.0
406,87.2,95.0,89.3,120.0
407,87.2,95.0,89.3,120.0
408,87.2,95.0,119.3617,120.0
409,87.2,95.0,119.3617,120.0
410,87.2,95.0,119.3617,120.0
411,87.2,95.0,119.3617,120.0
412,87.2,95.0,89.3,120.0
413,87.2,95.0,89.3,120.0
414,85.250839,89.4394,86.378529,64.4394
415,85.0,92.647059,87.058824,117.64706
416,53.742337,55.740467,54.280295,30.740467
417,113.825,120.0,115.4875,95.0
418,113.825,120.0,115.4875,95.0
419,27.592337,31.248489,28.576685,56.248489
420,87.2,95.0,89.3,120.0
421,87.2,95.0,107.58347,120.0
422,87.2,95.0,119.3617,120.0
423,87.2,95.0,119.3617,120.0
424,87.2,95.0,89.3,120.0
425,87.2,95.0,89.3,120.0
426,87.2,95.0,89.3,120.0
427,26.125,26.203209,26.146056,1.2032086
428,113.825,120.0,115.4875,95.0
429,57.5,59.759358,58.108289,34.759358
430,87.2,95.0,89.3,120.0
431,87.2,95.0,89.3,120.0
432,87.2,95.0,89.3,120.0
433,87.2,95.0,89.3,120.0
434,113.825,120.0,115.4875,95.0
435,45.125,50.0,46.4375,75.0
436,88.331365,92.73408,89.516711,67.73408
437,24.081365,27.493438,25.0,52.493438
438,113.825,120.0,115.4875,95.0
439,113.825,120.0,115.4875,95.0
440,113.825,120.0,115.4875,95.0
441,113.825,120.0,115.4875,95.0
442,118.25459,120.0,120.0,99.737533
443,113.825,120.0,115.4875,95.0
444,113.825,120.0,115.4875,95.0
445,25.245407,25.262467,25.25,0.26246719
446,87.2,95.0,89.3,120.0
447,87.2,95.0,89.3,120.0
448,112.44318,95.0,89.3,120.0
449,87.2,95.0,89.3,120.0
450,87.2,95.0,89.3,120.0
451,87.2,95.0,119.3617,120.0
452,87.2,95.0,107.02819,120.0
453,87.2,95.0,89.3,120.0
454,87.2,95.0,89.3,120.0
455,87.2,95.0,89.3,120.0
456,87.2,95.0,119.3617,120.0
457,87.2,95.0,119.3617,120.0
458,87.2,95.0,119.3617,120.0
459,87.2,95.0,89.3,120.0
460,87.2,95.0,89.3,120.0
461,87.2,95.0,89.3,120.0
462,87.2,95.0,89.3,120.0
463,27.368176,27.532808,27.4125,2.5328084
464,113.825,120.0,115.4875,95.0
465,47.775,49.358289,48.20127,24.358289
466,113.825,120.0,115.4875,95.0
467,87.2,95.0,89.3,120.0
468,87.2,95.0,89.3,120.0
469,87.2,95.0,108.17392,120.0
470,87.2,95.0,119.3617,120.0
471,87.2,95.0,119.3617,120.0
472,87.2,95.0,89.3,120.0
473,87.2,95.0,89.3,120.0
474,87.2,95.0,89.3,120.0
475,71.75,75.0,72.625,50.0
476,113.825,120.0,115.4875,95.0
477,113.825,120.0,115.4875,95.0
478,87.2,95.0,89.3,120.0
479,87.2,95.0,89.3,120.0
480,87.2,95.0,89.3,120.0
481,87.2,95.0,89.3,120.0
482,113.825,120.0,115.4875,95.0
483,91.575,96.203209,92.821056,71.203209
484,20.0,23.128342,20.842246,48.128342
485,87.2,95.0,89.3,120.0
486,113.825,120.0,115.4875,95.0
487,113.825,120.0,115.4875,95.0
488,113.825,120.0,115.4875,95.0
489,113.825,120.0,115.4875,95.0
490,113.825,120.0,115.4875,95.0
491,113.825,120.0,115.4875,95.0
492,113.825,120.0,115.4875,95.0
493,87.2,95.0,89.3,120.0
494,87.2,95.0,89.3,120.0
495,87.2,95.0,119.3617,120.0
496,87.2,95.0,119.3617,120.0
497,87.2,95.0,119.3617,120.0
498,87.2,95.0,119.3617,120.0
499,87.2,95.0,119.3617,120.0
500,87.2,95.0,90.661743,120.0
501,87.2,95.0,89.3,120.0
502,87.2,95.0,89.3,120.0
503,87.2,95.0,89.3,120.0
504,87.2,95.0,89.3,120.0
505,87.2,95.0,89.3,120.0
506,87.2,95.0,89.3,120.0
507,87.2,95.0,89.3,120.0
508,87.2,95.0,89.3,120.0
509,87.2,95.0,89.3,120.0
510,39.025,40.0,39.2875,15.0
511,113.825,120.0,115.4875,95.0
512,113.825,120.0,115.4875,95.0
513,113.825,120.0,115.4875,95.0
514,113.825,120.0,115.4875,95.0
515,72.7,79.491979,74.52861,104.49198
516,87.2,95.0,89.3,120.0
517,87.2,95.0,89.3,120.0
518,87.2,95.0,119.3617,120.0
519,87.2,95.0,119.3617,120.0
520,87.2,95.0,93.066368,120.0
521,87.2,95.0,89.3,120.0
522,87.2,95.0,89.3,120.0
523,18.85,21.898396,19.670722,46.898396
524,113.825,120.0,115.4875,95.0
525,113.825,120.0,115.4875,95.0
526,87.2,95.0,89.3,120.0
527,87.2,95.0,89.3,120.0
528,87.2,95.0,89.3,120.0
529,87.2,95.0,89.3,120.0
530,113.825,120.0,115.4875,95.0
531,47.775,49.358289,48.20127,24.358289
532,30.0,33.823529,31.029412,58.823529
533,87.2,95.0,89.3,120.0
534,60.65,63.128342,61.317246,38.128342
535,113.825,120.0,115.4875,95.0
536,113.825,120.0,115.4875,95.0
537,113.825,120.0,115.4875,95.0
538,113.825,120.0,115.4875,95.0
539,113.825,120.0,115.4875,95.0
540,113.825,120.0,115.4875,95.0
541,87.2,95.0,89.3,120.0
542,87.2,95.0,89.3,120.0
543,87.2,120.0,119.3617,120.0
544,87.2,120.0,119.3617,120.0
545,87.2,120.0,119.3617,120.0
546,87.2,120.0,119.3617,120.0
547,87.2,120.0,119.3617,120.0
548,87.2,120.0,119.3617,120.0
549,87.2,120.0,119.3617,120.0
550,87.2,120.0,89.3,120.0
551,87.2,120.0,89.3,120.0
552,87.2,120.0,89.3,120.0
553,87.2,120.0,89.3,120.0
554,87.2,120.0,89.3,120.0
555,87.2,120.0,89.3,120.0
556,87.2,95.0,89.3,120.0
557,87.2,95.0,89.3,120.0
558,16.788583,19.693671,17.570722,44.693671
559,113.825,120.0,115.4875,95.0
560,113.825,120.0,115.4875,95.0
561,113.825,120.0,115.4875,95.0
562,113.825,120.0,115.4875,95.0
563,18.85,21.898396,19.670722,46.898396
564,87.2,95.0,89.3,120.0
565,87.2,120.0,119.3617,120.0
566,87.2,120.0,119.3617,120.0
567,87.2,120.0,119.3617,120.0
568,87.2,120.0,119.3617,120.0
569,87.2,95.0,89.3,120.0
570,87.2,95.0,89.3,120.0
571,87.2,95.0,89.3,120.0
572,113.825,120.0,115.4875,95.0
573,48.375,50.0,48.8125,25.0
574,87.2,95.0,119.3617,120.0
575,87.2,95.0,89.3,120.0
576,87.2,95.0,89.3,120.0
577,3.05,5.0,3.575,30.0
578,113.825,120.0,115.4875,95.0
579,20.0,23.128342,20.842246,48.128342
580,39.831824,44.338849,41.045254,69.338849
581,87.2,95.0,89.3,120.0
582,87.2,95.0,89.3,120.0
583,113.825,120.0,115.4875,95.0
584,113.825,120.0,115.4875,95.0
585,113.825,120.0,115.4875,95.0
586,113.825,120.0,115.4875,95.0
587,113.825,120.0,115.4875,95.0
588,61.518176,67.532808,63.1375,92.532808
589,87.2,95.0,89.3,120.0
590,87.2,120.0,119.3617,120.0
591,87.2,120.0,119.3617,120.0
592,87.2,120.0,119.3617,120.0
593,87.2,120.0,119.3617,120.0
594,87.2,120.0,119.3617,120.0
595,87.2,120.0,119.3617,120.0
596,87.2,120.0,119.3617,120.0
597,87.2,120.0,119.3617,120.0
598,87.2,120.0,119.3617,120.0
599,87.2,120.0,119.3617,120.0
600,87.2,120.0,119.3617,120.0
601,87.2,120.0,119.3617,120.0
602,87.2,120.0,119.3617,120.0
603,87.2,95.0,119.3617,120.0
604,87.2,95.0,119.3617,120.0
605,87.2,95.0,89.3,120.0
606,113.825,120.0,115.4875,95.0
607,68.5,75.0,70.25,100.0
608,113.825,120.0,115.4875,95.0
609,113.825,120.0,115.4875,95.0
610,113.825,120.0,115.4875,95.0
611,87.2,95.0,89.3,120.0
612,87.2,95.0,119.3617,120.0
613,87.2,120.0,119.3617,120.0
614,87.2,120.0,119.3617,120.0
615,87.2,120.0,119.3617,120.0
616,87.2,120.0,119.3617,120.0
