timestamp,exchange_Auvergne Rhone Alpes_Provence Alpes Cote d'Azur
02/05/2021 09:30,-4000.0
02/05/2021 10:00,-4000.0
02/05/2021 10:30,-4000.0
02/05/2021 11:00,-4000.0
02/05/2021 11:30,-4000.0
02/05/2021 12:00,-4000.0
02/05/2021 12:30,-4000.0
02/05/2021 13:00,-4000.0
02/05/2021 13:30,-4000.0
02/05/2021 14:00,-4000.0
02/05/2021 14:30,-4000.0
02/05/2021 15:00,-4000.0
02/05/2021 15:30,-4000.0
02/05/2021 16:00,-4000.0
02/05/2021 16:30,-4000.0
02/05/2021 17:00,-4000.0
02/05/2021 17:30,-4000.0
02/05/2021 18:00,-4000.0
02/05/2021 18:30,-4000.0
02/05/2021 19:00,-4000.0
02/05/2021 19:30,-4000.0
02/05/2021 20:00,-4000.0
